CLOISTER     1309200  canis lupus               84    Sexy          Con-Artist
THREE        1259330  Servant of Da Evil Empire 84    Greedy        Wrestler
WHO_AM_I      308600  Wolfe                     42    Sexy          Con-Artist
MERLYN        133105  Ziggy Stardust            34    Potato-Head   Wrestler   
ENDER          42947  Yoko Ono                  29    Healthy       Wrestler
GRIBBISH       42103  Dr. Gene Splicer          28    Alien         Journalist 
HIGHLANDER     12215  Klaus the Mutantkiller.   22    Alien         Soldier    
ISTAIVAN       10712  Paul Istaivan Meloi       21    Alien         Con-Artist 
WHY             6611  Coquette Carnage          19    Elite         Ninja      
RAOUL          -4000  Boss Programmer           10    Humble        Soldier
